N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
0.26426426426426425,0.43511450381679384,0.5522875816993464,0.4587155963302749,0.5599999999999999,0.5128205128205129,0.37146892655367236,0.25,0.009671179883945842,0.33830845771144274,0.4476834981780323,0.05681818181818183,0.5128205128205129,0.0
0.4894894894894895,0.3511450381679389,0.1895424836601307,0.605504587155963,0.7333333333333334,0.8205128205128206,0.48649614908584876,0.3382352941176471,0.06286266924564797,0.7213930348258706,0.14471629359708485,0.6023630172324839,0.8205128205128205,0.0
0.33933933933933935,0.5114503816793893,0.8104575163398693,0.5779816513761463,0.41333333333333333,0.8632478632478633,0.9646892655367232,0.3382352941176471,0.06286266924564797,0.7363184079601989,0.13482561166059345,0.6023630172324839,0.8632478632478633,0.0
0.3213213213213213,0.29770992366412213,0.4133986928104575,0.6238532110091736,0.5066666666666666,0.717948717948718,0.48649614908584876,0.39705882352941185,0.03191489361702128,0.716417910447761,0.13222280062467465,0.6023630172324839,0.717948717948718,0.0
0.6606606606606606,0.5343511450381679,0.3627450980392157,0.6146788990825683,0.26666666666666666,0.6495726495726496,0.788135593220339,0.2647058823529412,0.053191489361702135,0.7960199004975123,0.12077043206663197,0.6023630172324839,0.6495726495726497,1.0
0.5105105105105106,0.43511450381679384,0.3627450980392157,0.4311926605504582,0.6,0.5299145299145299,0.7810734463276835,0.44117647058823534,0.04352030947775629,0.40298507462686567,0.10827693909422176,0.6023630172324839,0.5299145299145299,0.0
0.5105105105105106,0.32824427480916035,0.0,0.605504587155963,0.30666666666666664,0.6068376068376069,0.47740112994350287,0.39705882352941185,0.04642166344294004,0.47761194029850745,0.09838625715773033,0.6023630172324839,0.6068376068376069,0.0
0.47147147147147145,0.3129770992366412,0.29248366013071897,0.6146788990825683,0.5199999999999999,0.5042735042735043,0.4915254237288135,0.36764705882352944,0.04545454545454546,0.26368159203980096,0.12077043206663197,0.6023630172324839,0.5042735042735044,0.0
0.7177177177177178,0.43511450381679384,0.5522875816993464,0.568807339449541,0.32,0.4871794871794873,0.4703389830508475,0.8235294117647061,0.04352030947775629,0.42288557213930345,0.12077043206663197,0.6023630172324839,0.4871794871794873,1.0
0.26426426426426425,0.3969465648854961,0.8447712418300654,0.5412844036697243,0.17333333333333334,0.5811965811965812,0.5903954802259886,0.9117647058823528,0.01934235976789168,0.5273631840796018,0.13742842269651223,0.6023630172324839,0.5811965811965812,0.0
0.3033033033033033,0.3969465648854961,0.5343137254901961,0.5779816513761463,0.3333333333333333,0.7435897435897436,0.6327683615819208,0.9411764705882353,0.016441005802707933,0.6169154228855721,0.13951067152524727,0.6023630172324839,0.7435897435897437,1.0
0.2822822822822823,0.32824427480916035,0.13725490196078433,0.5229357798165136,0.7066666666666667,0.6752136752136753,0.6045197740112993,0.8235294117647061,0.02514506769825919,0.46766169154228854,0.13951067152524727,0.6023630172324839,0.6752136752136753,0.0
0.26426426426426425,0.183206106870229,0.3627450980392157,0.6605504587155957,0.5333333333333333,0.5811965811965812,0.6398305084745761,0.9705882352941176,0.014506769825918761,0.6119402985074626,0.16710046850598645,0.6023630172324839,0.5811965811965812,2.0
0.2822822822822823,0.4122137404580153,0.5343137254901961,0.44954128440366964,0.44,0.6068376068376069,0.675141242937853,0.6470588235294118,0.03384912959381045,0.5820895522388059,0.1452368558042686,0.6023630172324839,0.6068376068376069,0.0
0.45345345345345345,0.36641221374045807,0.7418300653594772,0.39449541284403616,0.7600000000000001,0.5299145299145299,0.6398305084745761,0.7500000000000001,0.02514506769825919,0.46268656716417905,0.1905257678292556,0.6023630172324839,0.5299145299145299,1.0
0.5645645645645646,0.3511450381679389,0.8970588235294118,0.3853211009174309,0.9066666666666666,0.5555555555555556,0.731638418079096,0.573529411764706,0.016441005802707933,0.5323383084577114,0.14836022904737117,0.6023630172324839,0.5555555555555556,0.0
0.6606606606606606,0.3969465648854961,0.7075163398692811,0.44954128440366964,0.46666666666666673,0.4871794871794873,0.675141242937853,0.3088235294117648,0.022243713733075435,0.5820895522388059,0.3977095262883914,0.6023630172324839,0.4871794871794873,1.0
0.4894894894894895,0.24427480916030533,0.9493464052287581,0.3853211009174309,0.7733333333333334,0.43589743589743596,0.6963276836158192,0.3382352941176471,0.02707930367504836,0.2835820895522388,0.3971889640812077,0.6023630172324839,0.4358974358974359,0.0
0.5855855855855856,0.3969465648854961,0.5522875816993464,0.3211009174311921,0.5733333333333334,0.5811965811965812,0.7740112994350282,0.3235294117647059,0.02127659574468085,0.2388059701492537,0.3966684018740239,0.7727272727272727,0.5811965811965812,0.0
0.6966966966966966,0.4122137404580153,0.3790849673202614,0.4311926605504582,0.5599999999999999,0.5555555555555556,0.731638418079096,0.36764705882352944,0.028046421663442945,0.3582089552238806,0.2540343571056741,0.6023630172324839,0.5555555555555556,1.0
0.4894894894894895,0.4122137404580153,0.7418300653594772,0.36697247706422026,0.41333333333333333,0.5042735042735043,0.48649614908584876,0.3088235294117648,0.06963249516441007,0.47263681592039797,0.10723581467985424,0.6023630172324839,0.5042735042735044,0.0
